,file,is_background,date_time,location,speed_kmh,sample_pos,daytime,weather,vehicle,source_direction,microphone,channel
54,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15209727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15209727,None,None,None,None,SE,CH34
55,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15305727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15305727,None,None,None,None,SE,CH34
56,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1533634_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1533634,M,D,C,R,SE,CH34
57,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_15401727_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,15401727,None,None,None,None,SE,CH34
58,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1542082_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1542082,M,D,C,L,SE,CH34
59,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1576813_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1576813,M,D,C,L,SE,CH34
60,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1614808_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1614808,M,D,C,R,SE,CH34
61,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1617240_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1617240,M,D,C,R,SE,CH34
62,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1620056_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1620056,M,D,C,R,SE,CH34
63,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1626008_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1626008,M,D,C,R,SE,CH34
64,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16510464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16510464,None,None,None,None,SE,CH34
65,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16606464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16606464,None,None,None,None,SE,CH34
66,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1665496_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1665496,M,D,C,R,SE,CH34
67,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16702464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16702464,None,None,None,None,SE,CH34
68,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16798464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16798464,None,None,None,None,SE,CH34
69,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16894464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16894464,None,None,None,None,SE,CH34
70,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_169453_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,169453,M,D,C,R,SE,CH34
71,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_16990464_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,16990464,None,None,None,None,SE,CH34
72,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1703512_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1703512,M,D,C,R,SE,CH34
73,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1709976_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1709976,M,D,C,R,SE,CH34
74,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_174573_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,174573,M,D,C,L,SE,CH34
75,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1746584_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1746584,M,D,C,L,SE,CH34
76,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_17676800_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,17676800,None,None,None,None,SE,CH34
77,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1774424_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1774424,M,D,C,R,SE,CH34
78,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1796504_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1796504,M,D,C,R,SE,CH34
79,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1808664_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1808664,M,D,C,L,SE,CH34
80,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_18178560_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,18178560,None,None,None,None,SE,CH34
81,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_18274560_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,18274560,None,None,None,None,SE,CH34
82,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_18370560_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,18370560,None,None,None,None,SE,CH34
83,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_18466560_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,18466560,None,None,None,None,SE,CH34
84,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_18658560_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,18658560,None,None,None,None,SE,CH34
85,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1873112_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1873112,M,D,C,R,SE,CH34
86,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_18754560_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,18754560,None,None,None,None,SE,CH34
87,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1879576_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1879576,M,D,C,R,SE,CH34
88,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1884760_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1884760,M,D,C,R,SE,CH34
89,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_18850560_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,18850560,None,None,None,None,SE,CH34
90,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1893976_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1893976,M,D,C,R,SE,CH34
91,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_18946560_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,18946560,None,None,None,None,SE,CH34
92,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1935320_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1935320,M,D,C,L,SE,CH34
93,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_19688960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,19688960,None,None,None,None,SE,CH34
94,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_19784960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,19784960,None,None,None,None,SE,CH34
95,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_19880960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,19880960,None,None,None,None,SE,CH34
96,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_19976960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,19976960,None,None,None,None,SE,CH34
97,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_20072960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,20072960,None,None,None,None,SE,CH34
98,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2007576_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2007576,M,D,C,L,SE,CH34
99,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2010584_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2010584,M,D,C,R,SE,CH34
100,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_20168960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,20168960,None,None,None,None,SE,CH34
101,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_20264960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,20264960,None,None,None,None,SE,CH34
102,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_20360960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,20360960,None,None,None,None,SE,CH34
103,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_20456960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,20456960,None,None,None,None,SE,CH34
104,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2053911_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2053911,M,D,C,R,SE,CH34
105,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_20552960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,20552960,None,None,None,None,SE,CH34
106,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2058391_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2058391,M,D,C,R,SE,CH34
107,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_20648960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,20648960,None,None,None,None,SE,CH34
108,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_20744960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,20744960,None,None,None,None,SE,CH34
109,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_20840960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,20840960,None,None,None,None,SE,CH34
110,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_20936960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,20936960,None,None,None,None,SE,CH34
111,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_21032960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,21032960,None,None,None,None,SE,CH34
112,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2111192_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2111192,M,D,C,L,SE,CH34
113,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_21128960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,21128960,None,None,None,None,SE,CH34
114,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_21224960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,21224960,None,None,None,None,SE,CH34
115,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_21320960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,21320960,None,None,None,None,SE,CH34
116,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_21416960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,21416960,None,None,None,None,SE,CH34
117,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2143640_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2143640,M,D,C,R,SE,CH34
118,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2149848_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2149848,M,D,C,R,SE,CH34
119,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_21512960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,21512960,None,None,None,None,SE,CH34
120,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2155736_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2155736,M,D,C,R,SE,CH34
121,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_21608960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,21608960,None,None,None,None,SE,CH34
122,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2161815_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2161815,M,D,C,R,SE,CH34
123,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2167960_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2167960,M,D,C,L,SE,CH34
124,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_21704960_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,21704960,None,None,None,None,SE,CH34
125,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2183064_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2183064,M,D,C,R,SE,CH34
126,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2224640_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,2224640,None,None,None,None,SE,CH34
127,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2245592_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2245592,M,D,C,R,SE,CH34
128,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2248792_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2248792,M,D,C,R,SE,CH34
129,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2259864_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2259864,M,D,C,R,SE,CH34
130,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2264408_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2264408,M,D,C,R,SE,CH34
131,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2279384_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2279384,M,D,C,L,SE,CH34
132,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2293016_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2293016,M,D,C,L,SE,CH34
133,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2320408_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2320408,M,D,C,R,SE,CH34
134,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2320640_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,2320640,None,None,None,None,SE,CH34
135,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_232472_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,232472,M,D,C,L,SE,CH34
136,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2329880_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2329880,M,D,C,R,SE,CH34
137,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2359128_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2359128,M,D,C,R,SE,CH34
138,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2370968_M_D_CL_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2370968,M,D,C,L,SE,CH34
139,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2416640_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,2416640,None,None,None,None,SE,CH34
140,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2438744_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2438744,M,D,C,R,SE,CH34
141,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2440440_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2440440,M,D,C,R,SE,CH34
142,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2470295_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2470295,M,D,C,R,SE,CH34
143,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_247832_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,247832,M,D,C,R,SE,CH34
144,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2501677_M_D_CR_SE_CH34,False,2019-10-22-08-40,Fraunhofer-IDMT,30,2501677,M,D,C,R,SE,CH34
145,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_2512640_SE_CH34-BG,True,2019-10-22-08-40,Fraunhofer-IDMT,30,2512640,None,None,None,None,SE,CH34
